Team 1,Team 2,Winner,Margin,Ground,Match Date

Bangladesh,Zimbabwe,Zimbabwe,38 runs,Dhaka,"Jan 10, 2009"
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,"Jan 14, 2009"
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dhaka,"Jan 16, 2009"
Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Dhaka,"Jan 19, 2009"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 21, 2009"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 23, 2009"

West Indies,Bangladesh,Bangladesh,52 runs,Roseau,"Jul 26, 2009"
West Indies,Bangladesh,Bangladesh,3 wickets,Roseau,"Jul 28, 2009"
West Indies,Bangladesh,Bangladesh,3 wickets,Basseterre,"Jul 31, 2009"

Zimbabwe,Bangladesh,Bangladesh,8 wickets,Bulawayo,"Aug 9, 2009"
Zimbabwe,Bangladesh,Bangladesh,49 runs,Bulawayo,"Aug 11, 2009"
Zimbabwe,Bangladesh,Zimbabwe,69 runs,Bulawayo,"Aug 14, 2009"
Zimbabwe,Bangladesh,Bangladesh,4 wickets,Bulawayo,"Aug 16, 2009"
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Bulawayo,"Aug 18, 2009"

Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Dhaka,"Oct 27, 2009"
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Dhaka,"Oct 29, 2009"
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Dhaka,"Oct 31, 2009"

Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,"Nov 3, 2009"
Bangladesh,Zimbabwe,Bangladesh,1 wicket,Chattogram,"Nov 5, 2009"

Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,"Jan 4, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010"
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Jan 8, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010"

New Zealand,Bangladesh,New Zealand,146 runs,Napier,"Feb 5, 2010"
New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,"Feb 8, 2010"
New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,"Feb 11, 2010"
Bangladesh,England,England,6 wickets,Dhaka,"Feb 28, 2010"

Bangladesh,England,England,2 wickets,Dhaka,"Mar 2, 2010"
Bangladesh,England,England,45 runs,Chattogram,"Mar 5, 2010"

Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010"
Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,"Jun 18, 2010"
Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,"Jun 21, 2010"

England,Bangladesh,England,6 wickets,Nottingham,"Jul 8, 2010"
England,Bangladesh,Bangladesh,5 runs,Bristol,"Jul 10, 2010"
England,Bangladesh,England,144 runs,Birmingham,"Jul 12, 2010"
Ireland,Bangladesh,Ireland,7 wickets,Belfast,"Jul 15, 2010"
Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,"Jul 16, 2010"
Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,"Jul 20, 2010"

Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 5, 2010"
Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,"Oct 11, 2010"
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 14, 2010"
Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,"Oct 17, 2010"

Bangladesh,Zimbabwe,Zimbabwe,9 runs,Dhaka,"Dec 1, 2010"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Dec 3, 2010"
Bangladesh,Zimbabwe,Bangladesh,65 runs,Dhaka,"Dec 6, 2010"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,"Dec 12, 2010"

Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011"
Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,"Feb 25, 2011"

Bangladesh,West Indies,West Indies,9 wickets,Dhaka,"Mar 4, 2011"
Bangladesh,England,Bangladesh,2 wickets,Chattogram,"Mar 11, 2011"
Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,"Mar 14, 2011"
Bangladesh,South Africa,South Africa,206 runs,Dhaka,"Mar 19, 2011"

Bangladesh,Australia,Australia,60 runs,Dhaka,"Apr 9, 2011"
Bangladesh,Australia,Australia,9 wickets,Dhaka,"Apr 11, 2011"
Bangladesh,Australia,Australia,66 runs,Dhaka,"Apr 13, 2011"

Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare,"Aug 12, 2011"
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Aug 14, 2011"
Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare,"Aug 16, 2011"
Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo,"Aug 19, 2011"
Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo,"Aug 21, 2011"

Bangladesh,West Indies,West Indies,40 runs,Dhaka,"Oct 13, 2011"
Bangladesh,West Indies,West Indies,8 wickets,Dhaka,"Oct 15, 2011"
Bangladesh,West Indies,Bangladesh,8 wickets,Chattogram,"Oct 18, 2011"

Bangladesh,Pakistan,Pakistan,5 wickets,Dhaka,"Dec 1, 2011"
Bangladesh,Pakistan,Pakistan,76 runs,Dhaka,"Dec 3, 2011"
Bangladesh,Pakistan,Pakistan,58 runs,Chattogram,"Dec 6, 2011"

Bangladesh,Pakistan,Pakistan,21 runs,Dhaka,"Mar 11, 2012"
Bangladesh,India,Bangladesh,5 wickets,Dhaka,"Mar 16, 2012"
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,"Mar 20, 2012"
Bangladesh,Pakistan,Pakistan,2 runs,Dhaka,"Mar 22, 2012"

Bangladesh,West Indies,Bangladesh,7 wickets,Khulna,"Nov 30, 2012"

Bangladesh,West Indies,Bangladesh,160 runs,Khulna,"Dec 2, 2012"
Bangladesh,West Indies,West Indies,4 wickets,Dhaka,"Dec 5, 2012"
Bangladesh,West Indies,West Indies,75 runs,Dhaka,"Dec 7, 2012"
Bangladesh,West Indies,Bangladesh,2 wickets,Dhaka,"Dec 8, 2012"

Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota,"Mar 23, 2013"
Sri Lanka,Bangladesh,no result,,Hambantota,"Mar 25, 2013"
Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele,"Mar 28, 2013"

Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo,"May 3, 2013"
Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo,"May 5, 2013"
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo,"May 8, 2013"

Bangladesh,New Zealand,Bangladesh,43 runs,Dhaka,"Oct 29, 2013"
Bangladesh,New Zealand,Bangladesh,40 runs,Dhaka,"Oct 31, 2013"

Bangladesh,New Zealand,Bangladesh,4 wickets,Fatullah,"Nov 3, 2013"

Bangladesh,Sri Lanka,Sri Lanka,13 runs,Dhaka,"Feb 17, 2014"
Bangladesh,Sri Lanka,Sri Lanka,61 runs,Dhaka,"Feb 20, 2014"
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,"Feb 22, 2014"
Bangladesh,India,India,6 wickets,Fatullah,"Feb 26, 2014"

Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,"Mar 1, 2014"
Bangladesh,Pakistan,Pakistan,3 wickets,Dhaka,"Mar 4, 2014"
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Dhaka,"Mar 6, 2014"

Bangladesh,India,India,7 wickets,Dhaka,"Jun 15, 2014"
Bangladesh,India,India,47 runs,Dhaka,"Jun 17, 2014"
Bangladesh,India,no result,,Dhaka,"Jun 19, 2014"

West Indies,Bangladesh,West Indies,3 wickets,St George's,"Aug 20, 2014"
West Indies,Bangladesh,West Indies,177 runs,St George's,"Aug 22, 2014"
West Indies,Bangladesh,West Indies,91 runs,Basseterre,"Aug 25, 2014"

Bangladesh,Zimbabwe,Bangladesh,87 runs,Chattogram,"Nov 21, 2014"
Bangladesh,Zimbabwe,Bangladesh,68 runs,Chattogram,"Nov 23, 2014"
Bangladesh,Zimbabwe,Bangladesh,124 runs,Dhaka,"Nov 26, 2014"
Bangladesh,Zimbabwe,Bangladesh,21 runs,Dhaka,"Nov 28, 2014"

Bangladesh,Zimbabwe,Bangladesh,5 wickets,Dhaka,"Dec 1, 2014"

Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015"
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015"

Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015"
Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015"
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015"
Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015"

Bangladesh,Pakistan,Bangladesh,79 runs,Dhaka,"Apr 17, 2015"
Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,"Apr 19, 2015"
Bangladesh,Pakistan,Bangladesh,8 wickets,Dhaka,"Apr 22, 2015"

Bangladesh,India,Bangladesh,79 runs,Dhaka,"Jun 18, 2015"
Bangladesh,India,Bangladesh,6 wickets,Dhaka,"Jun 21, 2015"
Bangladesh,India,India,77 runs,Dhaka,"Jun 24, 2015"

Bangladesh,South Africa,South Africa,8 wickets,Dhaka,"Jul 10, 2015"
Bangladesh,South Africa,Bangladesh,7 wickets,Dhaka,"Jul 12, 2015"
Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,"Jul 15, 2015"

Bangladesh,Zimbabwe,Bangladesh,145 runs,Dhaka,"Nov 7, 2015"
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,"Nov 9, 2015"
Bangladesh,Zimbabwe,Bangladesh,61 runs,Dhaka,"Nov 11, 2015"

Bangladesh,Afghanistan,Bangladesh,7 runs,Dhaka,"Sep 25, 2016"
Bangladesh,Afghanistan,Afghanistan,2 wickets,Dhaka,"Sep 28, 2016"

Bangladesh,Afghanistan,Bangladesh,141 runs,Dhaka,"Oct 1, 2016"
Bangladesh,England,England,21 runs,Dhaka,"Oct 7, 2016"
Bangladesh,England,Bangladesh,34 runs,Dhaka,"Oct 9, 2016"
Bangladesh,England,England,4 wickets,Chattogram,"Oct 12, 2016"

New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,"Dec 26, 2016"
New Zealand,Bangladesh,New Zealand,67 runs,Nelson,"Dec 29, 2016"
New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,"Dec 31, 2016"

Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,"Mar 25, 2017"
Sri Lanka,Bangladesh,no result,,Dambulla,"Mar 28, 2017"

Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),"Apr 1, 2017"

Ireland,Bangladesh,no result,,Dublin (Malahide),"May 12, 2017"
Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,"May 17, 2017"
Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),"May 19, 2017"
Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,"May 24, 2017"

England,Bangladesh,England,8 wickets,The Oval,"Jun 1, 2017"
Australia,Bangladesh,no result,,The Oval,"Jun 5, 2017"
Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,"Jun 9, 2017"
Bangladesh,India,India,9 wickets,Birmingham,"Jun 15, 2017"

South Africa,Bangladesh,South Africa,10 wickets,Kimberley,"Oct 15, 2017"
South Africa,Bangladesh,South Africa,104 runs,Paarl,"Oct 18, 2017"
South Africa,Bangladesh,South Africa,200 runs,East London,"Oct 22, 2017"

Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,"Jan 15, 2018"
Bangladesh,Sri Lanka,Bangladesh,163 runs,Dhaka,"Jan 19, 2018"
Bangladesh,Zimbabwe,Bangladesh,91 runs,Dhaka,"Jan 23, 2018"
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Dhaka,"Jan 25, 2018"
Bangladesh,Sri Lanka,Sri Lanka,79 runs,Dhaka,"Jan 27, 2018"

West Indies,Bangladesh,Bangladesh,48 runs,Providence,"Jul 22, 2018"
West Indies,Bangladesh,West Indies,3 runs,Providence,"Jul 25, 2018"
West Indies,Bangladesh,Bangladesh,18 runs,Basseterre,"Jul 28, 2018"

Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),"Sep 15, 2018"
Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,"Sep 20, 2018"
Bangladesh,India,India,7 wickets,Dubai (DSC),"Sep 21, 2018"
Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,"Sep 23, 2018"
Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,"Sep 26, 2018"
Bangladesh,India,India,3 wickets,Dubai (DSC),"Sep 28, 2018"

Bangladesh,Zimbabwe,Bangladesh,28 runs,Dhaka,"Oct 21, 2018"
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,"Oct 24, 2018"
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,"Oct 26, 2018"

Bangladesh,West Indies,Bangladesh,5 wickets,Dhaka,"Dec 9, 2018"
Bangladesh,West Indies,West Indies,4 wickets,Dhaka,"Dec 11, 2018"
Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,"Dec 14, 2018"

New Zealand,Bangladesh,New Zealand,8 wickets,Napier,"Feb 13, 2019"
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,"Feb 16, 2019"
New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,"Feb 20, 2019"

Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,"May 7, 2019"
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 13, 2019"
Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,"May 15, 2019"
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 17, 2019"

Bangladesh,South Africa,Bangladesh,21 runs,The Oval,"Jun 2, 2019"
Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,"Jun 5, 2019"
England,Bangladesh,England,106 runs,Cardiff,"Jun 8, 2019"
Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,"Jun 17, 2019"
Australia,Bangladesh,Australia,48 runs,Nottingham,"Jun 20, 2019"
Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,"Jun 24, 2019"

Bangladesh,India,India,28 runs,Birmingham,"Jul 2, 2019"
Bangladesh,Pakistan,Pakistan,94 runs,Lord's,"Jul 5, 2019"